time,ueid,TDDLTE_L1_measurement_Serving_Cell_Measurement_RSRP,TDDLTE_L1_measurement_Serving_Cell_Measurement_SINR
39583718,1,-78,7
39584062,1,-78,8
39584187,1,-77,7
39584343,1,-77,7
39584578,1,-77,7
39584734,1,-78,7
39584984,1,-77,8
39585203,1,-77,7
39585468,1,-77,7
39585578,1,-77,7
39585750,1,-77,8
39585984,1,-77,8
39586343,1,-79,8
39586578,1,-78,8
39586750,1,-78,8
39586984,1,-76,8
39587203,1,-76,7
39587421,1,-76,7
39587578,1,-76,7
39587734,1,-76,7
39587984,1,-76,8
39588203,1,-76,8
39588343,1,-77,8
39588578,1,-77,8
39588750,1,-77,7
39588984,1,-77,7
39589203,1,-77,7
39589468,1,-77,7
39589578,1,-77,7
39589750,1,-78,7
39589984,1,-78,7
39590203,1,-78,8
39590468,1,-77,7
39590578,1,-78,8
39590750,1,-78,8
39590984,1,-78,7
39591203,1,-78,7
39591343,1,-78,7
39591578,1,-77,7
39591734,1,-78,7
39591984,1,-78,7
39592203,1,-77,7
39592343,1,-77,7
39592578,1,-77,7
39592734,1,-78,7
39592984,1,-77,7
39593203,1,-77,7
39593468,1,-77,7
39593578,1,-77,7
39593750,1,-78,7
39593984,1,-77,7
39594203,1,-77,7
39594421,1,-77,7
39594578,1,-77,7
39594750,1,-76,7
39594984,1,-76,9
39595203,1,-76,10
39595468,1,-76,10
39595578,1,-76,9
39595750,1,-76,9
39595984,1,-76,9
39596203,1,-76,9
39596343,1,-76,9
39596578,1,-75,9
39596734,1,-75,9
39596984,1,-75,8
39597203,1,-76,9
39597468,1,-76,9
39597578,1,-76,9
39597750,1,-76,8
39597984,1,-76,8
39598203,1,-76,9
39598343,1,-76,9
39598578,1,-76,9
39598750,1,-75,8
39598984,1,-75,8
39599203,1,-75,9
39599343,1,-75,9
39599578,1,-75,8
39599734,1,-75,9
39599984,1,-75,8
39600203,1,-75,8
39600343,1,-75,9
39600578,1,-75,9
39600750,1,-75,9
39600984,1,-75,9
39601203,1,-75,9
39601468,1,-75,8
39601578,1,-75,9
39601734,1,-75,9
39601984,1,-75,9
39602203,1,-75,9
39602468,1,-75,8
39602578,1,-75,8
39602750,1,-75,8
39602984,1,-75,8
39603203,1,-75,8
39603468,1,-75,9
39603578,1,-76,8
39603750,1,-78,8
39603984,1,-76,8
39604203,1,-76,9
39604343,1,-76,8
39604578,1,-77,8
39604734,1,-77,7
39604984,1,-77,7
39605203,1,-77,7
39605468,1,-77,8
39605578,1,-77,8
39605734,1,-77,6
39605984,1,-74,7
39606203,1,-75,8
39606343,1,-74,8
39606578,1,-74,9
39606750,1,-74,8
39606984,1,-73,9
39607203,1,-73,9
39607421,1,-73,9
39607546,1,-73,8
39607750,1,-73,8
39607984,1,-73,8
39608203,1,-74,8
39608343,1,-73,8
39608578,1,-74,7
39608750,1,-75,8
39608937,1,-74,9
39609203,1,-75,8
39609343,1,-74,9
39609625,1,-74,8
39609750,1,-74,10
39609984,1,-74,9
39610203,1,-75,9
39610421,1,-75,9
39610578,1,-74,8
39610859,1,-76,8
39610984,1,-75,8
39611203,1,-75,9
39611468,1,-74,9
39611578,1,-74,9
39611750,1,-73,8
39611937,1,-73,9
39612203,1,-73,9
39612343,1,-73,8
39612578,1,-74,8
39612828,1,-75,8
39612984,1,-75,7
39613218,1,-75,8
39613546,1,-74,8
39613734,1,-75,8
39613984,1,-75,7
39614203,1,-75,8
39614343,1,-75,7
39614578,1,-75,7
39614750,1,-74,8
39614937,1,-74,8
39615187,1,-74,8
39615468,1,-74,7
39615578,1,-74,8
39615828,1,-74,8
39615984,1,-76,9
39616203,1,-74,8
39616343,1,-74,9
39616578,1,-75,9
